STATION,NAME,DATE,PRCP,PRCP_ATTRIBUTES
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-03,139,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-04,5.5,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-05,138.6,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-06,1.7,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-07,148,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-08,31.8,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-09,144.9,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-10,24.3,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-11,0,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-12,8,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-01,73.2,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-02,9.7,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-03,29.8,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-04,81.7,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-05,153.2,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-06,23.4,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-07,74,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-08,6.9,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-09,147.9,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-10,337.4,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-11,87.2,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2013-12,18.3,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-01,11.5,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-02,9.6,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-03,32.3,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-04,48.1,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-05,180.1,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-06,78.3,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-07,141.8,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-08,3.1,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-09,177.4,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-10,47.1,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-11,146.9,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2014-12,27,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2015-01,127.6,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2015-02,12.8,",,,W"
USW00013958,"AUSTIN CAMP MABRY, TX US",2015-03,122.7,",,,W"
