WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,12/18/2014 09:45:00 AM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,3,Days,Total,,35,,VISUAL ASSESSMENT,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2429423,30.2635351223695,-97.7709796798271,480092,false,
Barton Creek,10/30/2014 09:45:00 AM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,10,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2426037,30.2635351223695,-97.7709796798271,480114,false,
Barton Creek,05/22/2014 02:00:00 PM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,Barton Springs,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2303552,30.2635351223695,-97.7709796798271,448639,false,
Barton Creek,05/22/2014 11:00:00 AM,Eliza Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,Eliza Springs,428,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2642461579302, -97.7700605859118)",2303558,30.2642461579302,-97.7700605859118,448641,false,
Barton Creek,05/22/2014 10:30:00 AM,Old Mill (Sunken Gardens) Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,Old Mill Springs,422,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635848609854, -97.7680757366172)",2303556,30.2635848609854,-97.7680757366172,448644,false,
Barton Creek,05/22/2014 10:00:00 AM,Upper Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,Upper Barton Spring,183,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635944614644, -97.7737817041223)",2303554,30.2635944614644,-97.7737817041223,448645,false,
Barton Creek,02/14/2014 08:30:00 AM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2303550,30.2635351223695,-97.7709796798271,447865,false,
Barton Creek,10/24/2013 10:15:00 AM,Rimrock Spring 67,Spring,Surface Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,N/A,,5737,,Rainvieux Web Page,U,TLAP Impact Study,"(30.2585691217237, -97.8649429211916)",2276372,30.2585691217237,-97.8649429211916,443702,false,
Barton Creek,10/24/2013 09:35:00 AM,North Branch of Sycamore Creek @ Foster Ranch Rd,Stream,Surface Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,N/A,,10352,,Rainvieux Web Page,U,TLAP Impact Study,"(30.2559319376247, -97.8445661446322)",2276374,30.2559319376247,-97.8445661446322,443704,false,
Barton Creek,08/12/2013 12:30:00 PM,Barton Spring,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2255231,30.2635351223695,-97.7709796798271,442226,false,
Barton Creek,08/12/2013 11:50:00 AM,Old Mill (Sunken Gardens) Spring,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,422,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635848609854, -97.7680757366172)",2255227,30.2635848609854,-97.7680757366172,442229,false,
Barton Creek,08/12/2013 11:00:00 AM,Eliza Spring,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,428,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2642461579302, -97.7700605859118)",2255225,30.2642461579302,-97.7700605859118,442231,false,
Barton Creek,08/12/2013 10:30:00 AM,Upper Barton Spring,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,183,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635944614644, -97.7737817041223)",2255229,30.2635944614644,-97.7737817041223,442227,false,
Barton Creek,09/25/2008 02:30:00 PM,Old Mill (Sunken Gardens) Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,422,,RAIN GAUGE,U,TPDES Sediment Data,"(30.2635848609854, -97.7680757366172)",1542083,30.2635848609854,-97.7680757366172,318245,false,
Barton Creek,09/25/2008 02:00:00 PM,Upper Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,183,,RAIN GAUGE,U,TPDES Sediment Data,"(30.2635944614644, -97.7737817041223)",1542081,30.2635944614644,-97.7737817041223,318243,false,
